online_order,book_table,rate,votes,location,rest_type,cuisines,approx_cost
Yes,No,3.9,441.0,Banashankari,Quick Bites,"South Indian, North Indian, Chinese, Biryani",400.0
Yes,No,3.9,25.0,Basavanagudi,Quick Bites,South Indian,100.0
Yes,No,4.3,484.5,Jayanagar,Quick Bites,"North Indian, Street Food, Juices",200.0
Yes,No,3.8,25.0,Kumaraswamy Layout,Quick Bites,South Indian,150.0
Yes,No,3.9,160.0,Kumaraswamy Layout,Quick Bites,Arabian,300.0
Yes,No,4.2,287.0,Banashankari,Quick Bites,North Indian,350.0
Yes,No,3.6,11.0,Basavanagudi,Quick Bites,South Indian,100.0
Yes,No,4.1,402.0,Banashankari,Cafe,Cafe,500.0
Yes,No,3.8,469.0,Basavanagudi,Casual Dining,"North Indian, Chinese, Beverages",750.0
Yes,No,3.3,484.5,Kumaraswamy Layout,Casual Dining,"BBQ, Arabian, Rolls, Chinese, North Indian, Juices, Kebab, Desserts",550.0
Yes,No,3.9,57.0,Banashankari,Quick Bites,"South Indian, North Indian, Chinese, Street Food",200.0
Yes,No,3.4,14.0,Banashankari,Quick Bites,South Indian,300.0
Yes,No,3.9,264.0,Banashankari,Quick Bites,South Indian,200.0
Yes,No,3.0,62.0,Banashankari,Cafe,"Cafe, French, North Indian",400.0
Yes,No,3.8,484.5,Banashankari,Casual Dining,"Pizza, Fast Food",750.0
Yes,No,3.8,242.0,Jayanagar,Casual Dining,"Mangalorean, Seafood, Chinese, Biryani",650.0
Yes,No,3.6,27.0,Basavanagudi,Dessert Parlor,Fast Food,250.0
Yes,No,4.1,163.0,Basavanagudi,Quick Bites,"Continental, Fast Food, Street Food, Momos",500.0
Yes,No,4.2,191.0,Basavanagudi,Quick Bites,"Street Food, Fast Food",250.0
Yes,No,3.5,32.0,Banashankari,Quick Bites,"Pizza, Sandwich, Burger, Fast Food",150.0
Yes,No,2.9000000000000004,247.0,Banashankari,Casual Dining,North Indian,500.0
Yes,Yes,4.1,484.5,Jayanagar,Casual Dining,"North Indian, Chinese, BBQ",1175.0
Yes,No,4.1,337.0,Jayanagar,Quick Bites,"Chinese, Fast Food",300.0
Yes,No,3.9,135.0,Banashankari,Casual Dining,"North Indian, Chinese, Continental",800.0
Yes,No,3.6,172.0,Uttarahalli,Casual Dining,"North Indian, Chinese",700.0
Yes,No,3.6,105.0,Banashankari,Casual Dining,Vietnamese,700.0
Yes,No,4.2,484.5,Banashankari,Cafe,"Cafe, Mexican, Italian, Momos, Beverages",550.0
Yes,No,3.2,36.0,Kumaraswamy Layout,Quick Bites,"Fast Food, Street Food",200.0
Yes,No,3.1,39.0,Kumaraswamy Layout,Quick Bites,North Indian,300.0
Yes,No,3.1,5.0,Kumaraswamy Layout,Casual Dining,"North Indian, Chinese, Biryani, Kebab",500.0
Yes,No,3.7,0.0,Basavanagudi,Quick Bites,"North Indian, Chinese",300.0
Yes,Yes,4.3,484.5,Jayanagar,Casual Dining,"Italian, Salad",1175.0
Yes,No,3.9,56.0,Kumaraswamy Layout,Quick Bites,"North Indian, Chinese",350.0
Yes,No,4.3,484.5,Banashankari,Dessert Parlor,"Desserts, Ice Cream",500.0
Yes,No,3.8,412.0,Jayanagar,Casual Dining,"Andhra, Seafood, North Indian, Chinese",700.0
Yes,Yes,3.9,142.0,Jayanagar,Casual Dining,"Mangalorean, Seafood, South Indian",1000.0
Yes,No,3.0,23.0,Jayanagar,Quick Bites,Andhra,400.0
Yes,No,3.6,143.0,Jayanagar,Casual Dining,"South Indian, Biryani, Chinese, North Indian",750.0
Yes,Yes,2.9000000000000004,80.0,Jayanagar,Casual Dining,"South Indian, Arabian, Chinese, North Indian, Seafood, Mangalorean",500.0
Yes,No,3.6,16.0,JP Nagar,Casual Dining,South Indian,400.0
Yes,No,4.4,181.0,Jayanagar,Beverage Shop,"Beverages, Tea",250.0
Yes,No,3.8,70.0,Jayanagar,Quick Bites,"North Indian, Street Food",200.0
Yes,No,3.8,164.0,Basavanagudi,Quick Bites,"Pizza, Italian",600.0
Yes,No,3.6,58.0,Kumaraswamy Layout,Quick Bites,"Cafe, Burger, Beverages",650.0
No,No,3.8,148.0,Basavanagudi,"Casual Dining, Cafe","North Indian, Cafe, Chinese, Fast Food",550.0
No,No,3.9,206.0,Basavanagudi,Quick Bites,"South Indian, Mangalorean",450.0
No,No,3.7,0.0,Basavanagudi,Bakery,"Bakery, Desserts",300.0
